manufacturer,model,part #,core count,core clock,boost clock,tdp,series,microarchitecture,core family,socket,integrated graphics,maximum supported memory,ecc support,packaging,includes cpu cooler,l1 cache,l2 cache,l3 cache,lithography,simultaneous multithreading,prices,rating,reviews
intel,core i3-4160,bx80646i34160,2,3.6 ghz,,54 w,intel core i3,haswell refresh,haswell refresh,lga1150,intel hd graphics 4400,,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,22 nm,yes: hyper-threading,,"(28 Ratings, 4.7 Average)","Intel Core i3-4150 : Great CPU option for budget builds.Even though it is a dual core processor,it has hyperthreading and it can run most games on max settings 1080p at 40-45 FPS.The initial reason I went with this CPU is because I was on a pretty tight budget (I'm 13 Y/O).This CPU though will only be in my PC for a year and I'm planning to upgrade to an i5 next year beacuse I design graphics for school and I need a faster CPU and this one just doesn't cut it.I will not throw away the i3 though as I will be putting it inside my fathers HP desktop which currently has a Pentium G3258 in it.,P/S dont get scared by the CPU temps listed,even though I use a Hyper 212X,I couldn't get any lower idle temps due to the average ambient temperature in Malaysia being 33 Degrees Celsius.,very good budget cpu... went with intel cause will probably upgrade later,Good CPU for the price, no problems,This is a great CPU for multi-tasking, gaming, and pretty much any other type of normal use. It's great, especially if your on a budget,Fast and simple, what more do you need,Was looking for a cheaper processor that has good reviews for gaming. So far it's living up to it's billing!,Great budget CPU. Good enough to handle games relatively easy and hyper-threading is a plus making it an decent well-rounded CPU,Does what it needs to. Its a little slow in some more CPU intensive games.,I originally considered getting the Intel Pentium G3258 for my build but there was a sale and I could fit this processor into the budget. I like that is has 2 cores and hyper-threading so I wasn't concerned about multitasking. Its also a very strong processor for basic computer uses and slightly overkill for my build. Its very quiet during operation using the stock CPU cooler. ,Great dual-core processor that is able to handle games just fine. The only flaw is that it is not a cheap processor looking at the fact that it still is a dual-core."
intel,xeon e3-1230 v3,bx80646e31230v3,4,3.3 ghz,3.7 ghz,80 w,intel xeon e3,haswell,haswell,lga1150,none,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,,"(9 Ratings, 5.0 Average)","This CPU is a beast for the price. It seems to effortlessly chew through file compression. It handles multi-device multi-tasking quite well too (i.e. playing a movie, gaming, receiving a smartphone backup dump and compressing it; all at the same time). I would recommend it as a cheaper alternative to an i7. 
A couple of notes about Xeons; the E3 series is comparable to an i7 of the same generation (e.g. E3 V3 is Haswell, V2 is Ivy Bridge), none are unlocked for overclocking, and many of them don’t have an IGPU (nomenclature ending in 0 or 1). I point out the lack of IGPU for gamers that also record their sessions. Intel quick sync video requires the IGPU, and can be quite helpful for video encoding.,Affordable 'entry' CPU in terms of the 4-core, hyperthreaded (HT) realm, good for those needing multithreaded horsepower in a pinch. Performs admirably (it is basically a HT Haswell i5!). To whom it may concern, this does not have an integrated GPU."
intel,core i3-550,bx80616i3550,2,3.2 ghz,,73 w,intel core i3,westmere,clarkdale,lga1156,intel hd graphics,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 4 mb,32 nm,yes: hyper-threading,$30.00,"(2 Ratings, 5.0 Average)",Decent chip. Performs well considering its age. I even accidentally booted the system up while the CPU didn't have a cooler and it survived. 
amd,a8-7600,ad7600ybjabox,4,3.1 ghz,3.8 ghz,65 w,amd a8,steamroller,kaveri,fm2+,radeon r7 (on-die),,no,boxed,yes,2 x 96 kb instruction 4 x 16 kb data,2 x 2 mb,none,28 nm,no,$118.95,"(21 Ratings, 4.6 Average)","Best bang for the buck, runs simple games like Hammerwatch, Torchlight 2, Broforce and the likes with ease.,It's inexpensive, I did not need a separate graphics card, and it's powerful enough for Netflix.  The stock fan seems a little dinky.  It is probably sufficient but I might look into an aftermarket fan later.,Fantastic little ""quad core"" core less than $80. Its performance is good and it runs cool and efficient for a AMD based part,Not going to knock your socks off, but it's still basically adequate for a desktop PC & should do alright serving Minecraft. If you find a cheap one, try it for a novelty project like I did.,The Best Processor for the money mainly because of the integrated graphics.
You can play Minecraft at Short 32+ render distance with 120 mods no problem.
Just make sure to get a good aftermarket cooler.,Fast enough,AMD CPUs work amazingly well for their price. The only reason to get a pentium over an AMD cpu would be to leave room for upgrades. For $70, a quad-core CPU with 3.1 GHz is an amazing deal to say the least.,Gets the job done.,First off, this is a mighty fine little processor/GPU combo. When it comes to gaming, its a no-brainer to get a quad core CPU. But, this little chip is much more than just a simple CPU. This one comes equipped with a decently powerful, integrated Radeon R7 GPU. Normally the integrated graphics included with most CPU's are basic and weak but with the right combination of fast RAM this thing is a beast. ,Cheap, allows you use to use all the features of the A88X chipset. Doesn't run hot, provides quad core performance, and if you don't have a GPU it will let you do some light gaming."
intel,core i5-3330,bx80637i53330,4,3 ghz,,77 w,intel core i5,ivy bridge,ivy bridge,lga1155,intel hd graphics 2500,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,22 nm,no,,"(6 Ratings, 4.7 Average)","This Processor is amazing, especially because the ""price"" I got it for. It handles, Photoshop, Premiere and Lightroom editing as well as heavy gaming in both CS:GO and GTA: V."
intel,core i7-870,bx80605i7870,4,2.93 ghz,,95 w,intel core i7,nehalem,lynnfield,lga1156,none,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,45 nm,yes: hyper-threading,$272.31,"(3 Ratings, 4.3 Average)","Good CPU even after 7 years. Only problem is it gets hot fast.,Surprisingly capable for its age.,This processor has been a champ since the day I bought it, compared to anything that's on the market now. It's really nothing special, I've never overclocked it or abused it. I never really got into enthusiast pc building early on because if it's not broke why try to break it. This is known as a Lynnwood processor, and was on the verge of being old technology when I purchased it. Ivy bridge was just around the corner and I just hopped onto the market to take advantage of the price. ,Till this day this processor still does an excellent job at day to day tasks, photoshop, the newest videogames. It's a shame that it's almost impossible to find a motherboard online for it. I am sure the local trade shows have plenty of back stock for me to rummage through if I ever wanted to fully unlock the potential of this thing. But other than that I cannot complain for the 6 years this thing has run without a hitch. It will be retired from my main rig into a media capture/nas rig. "
intel,,bx80671i76850k,6,3.6 ghz,3.8 ghz,140 w,intel core i7,broadwell,broadwell-e,lga2011-3,none,,no,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 15 mb,14 nm,yes: hyper-threading,$428.00,"(21 Ratings, 4.8 Average)","The Intel Core i7-6850K is a great processor. I was able to overclock this to 4.7 GHz but didnt want to keep it so high so I dropped it down to 4.3 GHz with very low voltage. If anyone is looking for simply 6 cores, go for the 6800K, its nearly the same. In fact I dont believe the price difference is justified in the least bit, thus the one less star. Nonetheless, I got it for a great deal so if you can get it for cheaper, jump on it.,Great processor, just what I needed for the build. 40 PCI-E lanes, allowing x16 for both of my 1080Tis. Also allows me to use the more enthusiast X99 Platform. ,Very pricey but 40 PCIe lanes (to fully utilize my SLI config), good overall performance and oc ability.,Currently overclocked at 4.1GHz. Fast, stable, and cool, no complains here.,This monster hexacore CPU from intel readily handles any multi-core applications I throw at it, mostly ProTools and my wife's AutoDESK/CAD software.  40x lanes of PCI-e help the motherboard run two graphics cards at 16x/16x.  A slightly boosted clock and extra lanes pushes this CPU a little over the little brother, 6800k.,It's a monster. I don't know what else could be said. I haven't even put utilization outside of stress to 40%. Makes me think it's time to grab some new software ;),I wanted a 6-core CPU and I was able to get the 6850K on sale for $500. I've attempted some overclocking, but I'm running it at stock speeds at the moment. Overall, it's been a terrific processor and having the extra cores is great for running virtual machines (or containers).,Absolute beast, actually clocked really high and at a decent temperature,I wanted a 6-core CPU and I was able to get the 6850K on sale for $500. I've attempted some overclocking, but I'm running it at stock speeds at the moment. Overall, it's been a terrific processor and having the extra cores is great for running virtual machines (or containers).,Amazing CPU for developers or enthusiasts that want to multitask like a boss!"
intel,pentium g3258,bx80646g3258,2,3.2 ghz,,53 w,intel pentium,haswell refresh,haswell refresh,lga1150,intel hd graphics,,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,22 nm,no,$183.15,"(163 Ratings, 4.7 Average)","Excellent CPU for £50! I OCed it to 4.7GHz stable at 1.35v on air cooling!,Great little chip. It's not often you spend less on the processor than the case, and get this kind of performance. I'm running a stable 5.04GHz with it, just a 120mm radiator with a push/pull setup! Single core performance is through the roof!,A fantastic little chip! Very good single thread performance, and overclocks very well. I'm not hitting more than 54C under a Prime95 torture test at 4.2GHz. Perfect for any entry level build.,High value, high overclock potential. Being my first build, it's also my first overclock. My research showed that the Pentium's two threads is fine for the time being and, while four threads is the future, the number of games I would want to play that absolutely require four threads is less than the fingers on one hand. Around 30% of these chips will unfortunately not overclock as well as the other 70%, due to variable nature of manufacturing. I was lucky with mine and have achieved a Prime95 tested 4.3Ghz @ 1.25V using the auto overclock settings in the ASUS UEFI BIOS. Very easy, very stable. Core temps are well within norm; using Real Temp, the temperature sits around 30C at idle and 70-75C under game conditions. A 33% increase in performance is impressive; let's just see how long the CPU lasts.,Great processor with great overclocking capability. Can still run today's games really well. ,Bought this for cheap on Craigslist for a low budget rig for my brother!,Great little duel core CPU. Runs my simple HTPC just fine with no problems.,I think in the future and upgrade to the GPU to a 750 Ti or 950 would go great with this CPU.,Would recommend.,Now that i've had it for while and will be upgrading this cpu shortly, its the perfect time for a review. So many people saying about modern games not running on this cpu and yes, SOME don't or don't run well but for a starter cpu,its amazing. i started/originally got it due to its price and wanting to get into pc gaming quick, i play lots of classic games, emulators and indie games which this is perfect for but recently, although i had been avoiding them due to all the ""it won't play"" hype, decided to give some newer games a try and this is what i found @4.2ghz:,Black ops 3 multiplayer: maxed out, solid 60fps @ 1080p (single player does hit drops on occassions but nothing too drastic),Witcher 3: maxed out (no hairworks) @1440p at a solid 30fps (my console eyes don't mind 30fps but i did need to use ""BES"" to stop periodic freezing due to only 2 cores.,Dark souls 3: maxed out, solid 60fps @ 1080p.,Mad max: maxed out solid 60fps @1080p,With a library of 300+ titles only a few games in there  i won't play with this cpu maxed out (batman games are the worse)...in conclusion i'm very happy i chose this for my cpu and the only part i'd feel bad about swapping out as i'm a sucker for an underdog...if ur on a budget or just starting out, this cpu maybe a great place for you to start.,Wow, I'm very impressed with a chip from 2014 not bottle necking a 750 Ti. OC'ed to 4.1 with 1.212v and temps are 50c when gaming. Could go higher, but considering I have a Tier 7 PSu, it's not worth the few extra mHz.,Stays very cool at full load at stock speeds! ,I probably committed a sin by not overclocking this, but it's a great little CPU with plenty of life left in it. ,I've given it 5 stars even though I am convinced newer ones don't overclock as well as the new ones given to reviewers and early adopters. Single-thread performance is among the best, but more applications are becoming multi-threaded, dx12 and spartan browser will better take advantage of multiple cores.,Also regarding the igpu, for a non-gamer it does the job, and for video scaling intel's dxva algorithm is the best, but newer drivers don't have 4k h264 decode which I am disappointed about.,There has been dual core bottleneck especially with a lot of applications and chrome tabs open, but nonetheless for the money it's not going to set the world on fire."
amd,,100-000000022,6,3.8 ghz,4.4 ghz,95 w,amd ryzen 5,zen 2,matisse,am4,none,128 gb,no,oem/tray,no,6 x 32 kb instruction 6 x 64 kb data,6 x 512 kb,2 x 16 mb,7 nm,yes,$279.05,(0 Ratings),
amd,a6-7400k,ad740kybjabox,2,3.5 ghz,3.9 ghz,65 w,amd a6,steamroller,kaveri,fm2+,radeon r5 (on die),,no,boxed,yes,1 x 96 kb instruction 2 x 16 kb data,1 x 1 mb,none,28 nm,no,$63.99,"(7 Ratings, 3.4 Average)","very ok APU, does good for me. Would pair with good ram for best time.,Works fine, runs sort of on the hot side idle around 50 degrees Celsius.  Will be upgraded in the future to an x4 860k,It says 6 cores but it's only 2, (4 of them are for graphics)
The AMD CPU's are all APU's.,Great little CPU with pretty decent integrated graphics, perfect for what I need! It's also overclock-able which I will be doing in the future when my 4 to 8 pin EPS adaptor comes...,Great Processor for the price."
amd,athlon x4 860k,ad860kxbjabox,4,3.7 ghz,4 ghz,95 w,amd athlon x4,steamroller,kaveri,fm2+,none,,no,boxed,yes,2 x 96 kb instruction 4 x 16 kb data,2 x 2 mb,none,28 nm,no,,"(73 Ratings, 4.6 Average)","Best price to performance CPU on the market. I didn't win the silicone lottery which is a bit disappointing, but I was able to get it up to 4.4 on high voltage (1.5). These chips can take 1.55v, but it is not recommended for everyday use. I settled on 4.2 at 1.45v. No L3 cache is a bummer as well, but for the money I am beyond happy, although I have to leave a star off due to my bad luck with the silicone.,Good Bang for the buck. Got mine OC'd to 4.3Ghz on 1.4 volts with a Cryorig H7.,Good processor for the price, can't really beat it!,A competent quad core CPU suitable for budget gaming,Cheap quad core processor for the latest FM2 chipset. A good buy right now and leaves the possibility of replacing it in the future with a better FM2 processor when AMD releases one.,OMG this thing is great! Easy to overclock and just feels so smooth. I cant say enough about it.  Want to build another system with it and really see what I can get it up too.,I should be able to give this CPU 10 stars. It is the best budget CPU that AMD has to offer right now, and it flat out performs. For a little background, this chip is the A-10 7870k without the integrated graphics in it. This little guy, combined with my GTX 750 ti (both at stock clock speeds) handles Xbox One/PS4 games at 1080p and on high/ultra settings with ease (including Fallout 4, GTAV, Shadow of Mordor, and Wolfenstein: The New Order, more on the way as I become rich :) ). Buy this processor and you will not be disappointed, it is a true budget gaming unit!,If all you had was £55 for a processor then this is about as good as you can get, not a true Quad Core but 4 Threads all the same.  Overclocks really well, but all chips are different.  No Level 3 Cache but still it can hold its own.  Obviously Clock for Clock Intel will win but Intel do not sell an unlocked Processor in this price range and the one they do is only Dual Core and is known to become swamped with later games requiring more than 2 Cores. Once overclocked they do start to pull away and can cope with some demand.  Paired with a feature rich FM2+ board for £45 and you have decent combo for £100 ,Solid CPU for gaming on a budget. Have yet to overclock but plan to soon.,Perfect budget CPU. Does everything I want it to, and I have no complaints."
intel,xeon e5-2620 v4,bx80660e52620v4,8,2.1 ghz,3 ghz,85 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,boxed,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,14 nm,yes: hyper-threading,"$416.65,$428.00,$428.00,$434.99","(3 Ratings, 5.0 Average)","No complaints!  With two of these, my system blows my mind!  Reliable Intel Xeon technology at a pretty darn good price compared to the V3s...$200 less than the comparable E5-2630 V3!  You will probably like it if you buy it.,Waiting for the V4's to come out was well worth the wait. The price point is almost identical between the V3 and V4 models, but with the V4 you get an additional 2 cores (at a reduced speed), along with support for faster RAM, larger cache, etc.,Rarely do I get more than 2 cores above 50% load because the OS is spreading the processes across the cores beautifully. Runs really cool under the X62 Kraken."
intel,xeon e5-2680,bx80621e52680,8,2.7 ghz,3.5 ghz,130 w,intel xeon e5,sandy bridge,sandy bridge-ep,lga2011,none,,yes,boxed,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,32 nm,yes: hyper-threading,$121.86,"(1 Rating, 5.0 Average)","First off, these E5-2680s are used, the current price for new, is around $250-$300, so after researching this CPUs performance, I find this CPU an incredible value.  The CPU PassMark score is 13,059, compared to the slightly more expensive E5-2690, that has a CPU PassMark score: 14,315. This is a decent processor for rendering video and editing photo's...and if you enjoy light gaming, this CPU will hold its own. If you are using dual Xeons, it is best that they are paired, but if you cannot find a pair, then at least ensure the core stepping are the same. This is an LGA 2011 Socket R processor, so ensure you match this CPU with a LGA 2011 Socket R Motherboard...cannot use LGA 2011 V2, V3 with this CPU. "
amd,fd8350frhkhbx wraith,fd8350frhkhbx,8,4 ghz,,125 w,amd fx,piledriver,vishera,am3+,none,,no,boxed,yes,4 x 64 kb instruction 8 x 16 kb data,4 x 2 mb,1 x 8 mb,32 nm,no,,"(9 Ratings, 4.7 Average)","Running at 4.6Ghz, at min 34, max 56 degrees c & never missed a beat.,Great CPU, 8 cores at 4.0GHz without OC, 4.2GHz turbo boost. Can't beat the price for the performance (in the AM3 spectrum anyway).,I didn't treat this processor with much reverence but it's a trooper anyway. Probably won't carry a gamer far into the future but you could do a lot worse right now.,great little unit never runs to hard about 40% load while hardcore gaming great value built off MB with amd chipset and didint want to spend to much money!,fast and smooth cpu,8 Core at 4ghz... OP asf. Would recommend to anyone.,I've found this processor to be wonderful. No performance issues from it in the 5 months I've had it. I'm not sure if it would bottleneck higher tier GPUs, however, as I have an RX 550 right now. I edit videos quite often and this CPU definitely helps to make my PC my workstation. Also, $110 is a REALLY good price for this product.,Update 2.11.2019: Apart from a few other parts in my build, this is one of the ONLY ones that is still working perfectly after two years. This is a very strong CPU for an older, or cheaper, build. I still am incredibly satisfied.,Awesome processor for $74.89. However, I purchased mine while they were still in the store(work at Frys Electronics) and they were tagged at 180$. Still not terrible, but they weren't completely honest about the black series (hence the class action lawsuit) and if u ask me, this series is garbage. DO NOT OVERPAY for a black series AMD,Great CPU does its job amazingly well, very happy with it"
intel,,bx80684i59500f,6,3 ghz,4.4 ghz,65 w,intel core i5,coffee lake refresh,coffee lake refresh,lga1151,none,128 gb,no,boxed,yes,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 9 mb,14 nm,no,$559.37,(0 Ratings),
intel,xeon e5-2699 v3,cm8064401739300,18,2.3 ghz,3.6 ghz,145 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,oem/tray,no,18 x 32 kb instruction 18 x 32 kb data,18 x 256 kb,1 x 45 mb,22 nm,yes: hyper-threading,$3089.95,(0 Ratings),
intel,core i3-2120,bx80623i32120,2,3.3 ghz,,65 w,intel core i3,sandy bridge,sandy bridge,lga1155,intel hd graphics 2000,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,32 nm,yes: hyper-threading,$255.27,"(17 Ratings, 4.7 Average)","Sandy Bridge is still decent  for entry-level gaming builds in 2017. Even so, this processor is too old to consider buying unless you're getting a significant discount on both it and its motherboard.,Surprisingly snippy in games even though it's a 6 years old CPU. Benchmark tests put it at about 75% overall performance of the G4560 - ,.,I decided on this CPU after some experience with a Phenom II X4 960T. I wanted to go the Intel route to see how it performed against the Phenom. Overall I was pretty happy but ultimately wished I would've ponied up for the i5."
intel,core i7-4820k,bx80633i74820k,4,3.7 ghz,3.9 ghz,130 w,intel core i7,ivy bridge,ivy bridge-e,lga2011,none,,no,boxed,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 10 mb,22 nm,yes: hyper-threading,,"(29 Ratings, 4.8 Average)","I've got to say this part is probably the part that has impressed me the most, high quality, never gives and lip, just works like a wonder. I've got it OCed to 4.4GHZ right now and it is running beautifully.,Honestly still a great CPU even in 2019. I have mine running at 4.7GHz and I've never had issues with it when tweaking around. My only issue is that these 4c/8t CPUs are now showing their age to new games."
intel,xeon e5-2695 v3,bx80644e52695v3,14,2.3 ghz,3.3 ghz,120 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,boxed,no,14 x 32 kb instruction 14 x 32 kb data,14 x 256 kb,1 x 35 mb,22 nm,yes: hyper-threading,"$2450.00,$2451.42",(0 Ratings),
intel,intel core i5-8400t processor cm8068403358913 - oem/tray,cm8068403358913,6,1.7 ghz,3.3 ghz,35 w,intel core i5,coffee lake,coffee lake,lga1151,intel uhd graphics 630,128 gb,no,oem/tray,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 9 mb,14 nm,no,,(0 Ratings),
intel,,cm8067702868535,4,4.2 ghz,4.5 ghz,91 w,intel core i7,kaby lake,kaby lake-s,lga1151,intel hd graphics 630,64 gb,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,yes: hyper-threading,$385.99,(0 Ratings),
intel,core i5-4670,bx80646i54670,4,3.4 ghz,,84 w,intel core i5,haswell,haswell,lga1150,intel hd graphics 4600,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,22 nm,no,$375.27,"(43 Ratings, 4.7 Average)","Awesome little CPU. Been serving me great for a few years now.,No major complaints, a very fast and capable CPU. Stock intel cooler isn't very quiet when doing CPU intensive tasks and runs hotter than I'd like. Good and reliable for the money.,I got a good deal on this CPU and was what I was looking for. Something Mid range for a Mid price. I know I could have done better, but I didn't want to get into the overclocking scene on my first build and I've read great reviews about this CPU. The Cooler was a later edition when I switched out the motherboards and took a little getting used to the mounting plate, but running great so far!,No complaints it computes for the price at the time fine. Fan works fine as well.,I have had no issues whatsoever,I just love this CPU, it is amazing, it runs anything i want it too and has low temperatures.,Cinebench score similar to i7 3770k.,Amazing cpu for a low price! Low temps, and great all around performance!,Recently picked this up used for cheap. Synced the Turbo to 3.8 GHz and left the voltage alone. This CPU replaces the G3258 the machine was running before Plex."
